tile,ra,dec,near_gal,nearest_gal_sep,nearest_gal_id,nearest_gal_dist
"(159, 309)",184.66423,64.5,True,258.6179945565856,NGC4391                       ,23.7913
"(159, 310)",188.11302,65.0,True,281.0443488130031,NGC4391                       ,23.7913
"(159, 315)",207.74352,67.5,True,246.3976734415272,UGC08737                      ,38.954
"(159, 324)",257.2674,72.0,True,20.00146979696734,NGC6340                       ,21.9786
"(159, 325)",264.37802,72.5,True,106.20888131769168,NGC6434                       ,39.2185
"(160, 287)",134.49384,53.5,True,11.530965101032429,NGC2701                       ,35.032
"(160, 308)",182.49376,64.0,True,95.70099500509524,UGC07179                      ,39.6359
"(160, 309)",185.82564,64.5,True,84.69897943908627,NGC4391                       ,23.7913
"(160, 324)",258.88544,72.0,True,120.82525700631253,NGC6340                       ,21.9786
"(161, 287)",135.33443,53.5,True,109.66234229000354,NGC2701                       ,35.032
"(161, 297)",154.06741,58.5,True,173.88961221310896,NGC3182                       ,33.4055
"(161, 308)",183.63435,64.0,True,227.5091574323249,UGC07179                      ,39.6359
"(161, 309)",186.98705,64.5,True,101.5746634564469,NGC4391                       ,23.7913
"(161, 326)",275.33444,73.0,True,78.8316696288084,NGC6654                       ,30.7038
"(162, 282)",128.71028,51.0,True,273.4485537858121,UGC04505                      ,47.9207
"(162, 285)",133.05705,52.5,True,267.53978308322945,NGC2681                       ,16.4958
"(162, 297)",155.02435,58.5,True,42.8007101048137,NGC3182                       ,33.4055
"(162, 309)",188.14845,64.5,True,18.68912103008797,NGC4510                       ,41.518
"(162, 326)",277.0446,73.0,True,123.51253623059428,NGC6654                       ,30.7038
"(163, 267)",112.355774,43.5,True,263.549184418944,UGC03844                      ,45.4384
"(163, 282)",129.50478,51.0,True,289.7672842961551,UGC04505                      ,47.9207
"(163, 284)",132.37794,52.0,True,182.3836246067284,NGC2681                       ,16.4958
"(163, 285)",133.87839,52.5,True,270.4702120186025,NGC2681                       ,16.4958
"(163, 297)",155.9813,58.5,True,72.74541695959033,NGC3225                       ,43.4195
"(163, 307)",182.65442,63.5,True,120.1903212598502,UGC07179                      ,39.6359
"(163, 308)",185.91553,64.0,True,281.8433210421806,NGC4391                       ,23.7913
"(163, 323)",256.85095,71.5,True,217.61244410641748,NGC6340                       ,21.9786
"(163, 324)",263.73953,72.0,True,115.28129090011616,NGC6434                       ,39.2185
"(164, 266)",112.12085,43.0,True,127.99036498044252,UGC03844                      ,45.4384
"(164, 281)",128.91496,50.5,True,98.36363277142328,UGC04505                      ,47.9207
"(164, 283)",131.72382,51.5,True,253.7852370779891,NGC2681                       ,16.4958
"(164, 284)",133.19008,52.0,True,123.78312310640064,NGC2681                       ,16.4958
"(164, 297)",156.93823,58.5,True,170.29365339246112,NGC3225                       ,43.4195
"(164, 307)",183.775,63.5,True,260.1255197646965,UGC07179                      ,39.6359
"(164, 308)",187.0561,64.0,True,199.94515600456785,NGC4510                       ,41.518
"(164, 323)",258.42673,71.5,True,219.9923279600672,NGC6340                       ,21.9786
"(164, 324)",265.35757,72.0,True,220.5688122078118,NGC6434                       ,39.2185
"(165, 280)",128.34721,50.0,True,272.53176186719554,UGC04505                      ,47.9207
"(165, 281)",129.70103,50.5,True,257.2754631424369,UGC04505                      ,47.9207
"(165, 283)",132.52701,51.5,True,110.24732409296485,NGC2681                       ,16.4958
"(165, 284)",134.00221,52.0,True,138.95550864450772,NGC2681                       ,16.4958
"(165, 287)",138.69678,53.5,True,236.96332575353316,UGC04906                      ,36.4446
"(165, 308)",188.19669,64.0,True,17.741752096209225,NGC4510                       ,41.518
"(166, 280)",129.12508,50.0,True,166.08345887207432,UGC04505                      ,47.9207
"(166, 281)",130.48709,50.5,True,92.18467190350488,NGC2639                       ,47.6865
"(166, 282)",131.8883,51.0,True,223.85602685825472,NGC2681                       ,16.4958
"(166, 283)",133.3302,51.5,True,41.82110983836741,NGC2681                       ,16.4958
"(166, 284)",134.81435,52.0,True,243.13631233011336,NGC2681                       ,16.4958
"(166, 287)",139.53735,53.5,True,166.85522250151067,UGC04906                      ,36.4446
"(166, 308)",189.33728,64.0,True,182.41653691105896,NGC4545                       ,35.9081
"(166, 325)",276.0173,72.5,True,231.07286469248064,NGC6654                       ,30.7038
"(167, 280)",129.90294,50.0,True,259.0002446980575,UGC04551                      ,26.4892
"(167, 281)",131.27316,50.5,True,64.34799652814259,NGC2639                       ,47.6865
"(167, 282)",132.68282,51.0,True,81.81111390116668,NGC2681                       ,16.4958
"(167, 283)",134.13339,51.5,True,90.46875492682696,NGC2681                       ,16.4958
"(167, 286)",138.74695,53.0,True,224.5414663927047,UGC04906                      ,36.4446
"(167, 307)",187.13673,63.5,True,268.68533917381166,NGC4521                       ,38.6851
"(167, 323)",263.15402,71.5,True,282.0700154300077,NGC6434                       ,39.2185
"(168, 280)",130.6808,50.0,True,35.1004479935042,UGC04551                      ,26.4892
"(168, 281)",132.05923,50.5,True,251.1195549105395,NGC2681                       ,16.4958
"(168, 282)",133.47733,51.0,True,34.08935963585537,NGC2681                       ,16.4958
"(168, 283)",134.93658,51.5,True,233.6405990694664,NGC2681                       ,16.4958
"(168, 286)",139.57777,53.0,True,61.96758184586283,UGC04906                      ,36.4446
"(168, 307)",188.25731,63.5,True,108.74877665903608,NGC4545                       ,35.9081
"(168, 323)",264.7298,71.5,True,233.58051984386407,NGC6434                       ,39.2185
"(169, 279)",130.11049,49.5,True,196.57869416425413,UGC04551                      ,26.4892
"(169, 280)",131.45866,50.0,True,57.7951153625441,UGC04551                      ,26.4892
"(169, 281)",132.84529,50.5,True,168.00859698189703,NGC2681                       ,16.4958
"(169, 282)",134.27184,51.0,True,114.123191851854,NGC2681                       ,16.4958
"(169, 285)",138.80643,52.5,True,201.42103496659723,UGC04906                      ,36.4446
"(169, 307)",189.37788,63.5,True,197.4169885506495,NGC4545                       ,35.9081
"(170, 279)",130.88037,49.5,True,37.80993187243849,UGC04551                      ,26.4892
"(170, 280)",132.23653,50.0,True,158.77995321857958,UGC04587                      ,44.8735
"(170, 281)",133.63136,50.5,True,160.02148508994182,NGC2681                       ,16.4958
"(170, 282)",135.06633,51.0,True,256.54833380186017,NGC2681                       ,16.4958
"(170, 285)",139.62776,52.5,True,150.46600515692512,UGC04906                      ,36.4446
"(170, 308)",193.89963,64.0,True,112.90343070992276,UGC08059                      ,42.2828
"(171, 278)",130.32364,49.0,True,281.1593867200997,UGC04551                      ,26.4892
"(171, 279)",131.65025,49.5,True,109.00984457064344,UGC04587                      ,44.8735
"(171, 281)",134.41743,50.5,True,212.5792941586943,NGC2681                       ,16.4958
"(171, 284)",138.87502,52.0,True,291.6921258548734,NGC2841                       ,14.513
"(171, 308)",195.0402,64.0,True,280.7757731416785,UGC08059                      ,42.2828
"(172, 278)",131.08577,49.0,True,254.69950001145517,UGC04551                      ,26.4892
"(172, 279)",132.42014,49.5,True,224.20016274445956,UGC04587                      ,44.8735
"(172, 284)",139.68715,52.0,True,213.5306568599457,NGC2841                       ,14.513
"(172, 306)",189.43127,63.0,True,224.10504498660947,NGC4545                       ,35.9081
"(173, 278)",131.84789,49.0,True,268.9261289720097,UGC04587                      ,44.8735
"(173, 279)",133.19002,49.5,True,145.92245496493348,NGC2684                       ,42.0886
"(173, 283)",138.95256,51.5,True,217.4630573101073,NGC2841                       ,14.513
"(173, 284)",140.49928,52.0,True,197.739300067852,NGC2841                       ,14.513
"(173, 307)",193.8602,63.5,True,90.94297462430043,UGC08059                      ,42.2828
"(174, 279)",133.9599,49.5,True,60.97287148001187,NGC2684                       ,42.0886
"(174, 283)",139.75575,51.5,True,103.7914881527537,NGC2841                       ,14.513
"(174, 284)",141.31143,52.0,True,211.99578136414075,NGC2841                       ,14.513
"(174, 307)",194.98079,63.5,True,267.070608287756,UGC08059                      ,42.2828
"(175, 278)",133.37215,49.0,True,84.98772930064304,NGC2684                       ,42.0886
"(175, 282)",139.03888,51.0,True,203.02364018280787,NGC2841                       ,14.513
