host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
NGC3658,MATLAS-983,170.574,38.5276,dE  ,0.0,,"(267, 257)",5143.276799646439,5534.866800076434,ugri,4,1
NGC3658,MATLAS-986,170.598,38.6798,dE  ,0.0,,"(267, 257)",4779.895269036077,8484.366577185865,ugri,4,1
NGC3658,MATLAS-988,170.7,38.3215,dI  ,0.0,,"(267, 257)",3228.017345429431,1541.9613235416136,ugri,4,1
NGC3658,MATLAS-993,170.757,38.5199,dI  ,0.0,,"(267, 257)",2368.652800167325,5388.123312783552,ugri,4,1
NGC3658,MATLAS-994,170.7649,38.4315,dE  ,3.53,,"(267, 257)",2245.4956734717125,3675.251435601728,ugri,4,1
NGC3648,MATLAS-995,170.779,39.9568,dIN ,0.0,,"(262, 260)",8406.96838530898,4167.20787364911,ugri,4,1
NGC3648,MATLAS-999,170.804,39.7553,dI  ,0.0,,"(262, 260)",8044.555302430335,261.41097685025125,ugri,4,1
NGC3658,MATLAS-1001,170.8536,38.2228,dE  ,5.2,,"(269, 256)",2401.945389744305,9320.048746690474,ugri,4,1
NGC3648,MATLAS-1002,170.872,39.7824,dI  ,0.0,,"(262, 260)",7030.660807921413,784.6633786916964,ugri,4,1
NGC3658,MATLAS-1004,170.9076,38.7566,dE  ,4.23,,"(266, 258)",8497.282345380405,287.5533762692103,ugri,4,1
NGC3658,MATLAS-1005,170.94,38.5667,dEN ,3.25,,"(268, 257)",9278.05748969072,6299.148775813316,ugri,4,1
NGC3658,MATLAS-1006,170.9671,38.224,dE  ,5.03,,"(269, 256)",674.0308628296989,9347.547252263956,ugri,4,1
NGC3658,MATLAS-1008,171.0526,38.5755,dE  ,7.84,,"(268, 257)",7571.606178699549,6465.487833173496,ugri,4,1
NGC3648,MATLAS-1011,171.075,39.9751,dI  ,0.0,,"(262, 260)",4010.28275021847,4517.833575367534,ugri,4,1
NGC3665,MATLAS-1012,171.0837,38.8238,dE  ,3.92,,"(266, 258)",5835.243927036489,1585.668632545724,ugri,4,1
NGC3648,MATLAS-1013,171.092,39.5775,dI  ,0.0,,"(264, 259)",4636.212928004254,6501.919865173242,ugri,4,1
NGC3665,MATLAS-1015,171.0988,38.8399,dE  ,2.63,,"(266, 258)",5607.129419871429,1897.5534848020416,ugri,4,1
NGC3648,MATLAS-1016,171.116,39.8146,dI  ,0.0,,"(262, 260)",3397.653020578693,1408.0913909722158,ugri,4,1
NGC3665,MATLAS-1021,171.225,38.7272,dI  ,0.0,,"(268, 257)",4959.786886179771,9402.924215559193,ugri,4,1
NGC3665,MATLAS-1022,171.2456,38.6732,dE  ,3.48,,"(268, 257)",4648.085484708991,8356.491373962052,ugri,4,1
NGC3665,MATLAS-1023,171.2582,39.1223,dEN ,8.09,,"(266, 258)",3208.2509049092605,7371.226664700909,ugri,4,1
NGC3665,MATLAS-1026,171.328,38.7725,dE  ,0.0,,"(266, 258)",2144.786391216463,594.2113114971344,ugri,4,1
NGC3665,MATLAS-1027,171.351,38.618,dEN ,0.0,,"(268, 257)",3051.921822167464,7288.086066747479,ugri,4,1
NGC3665,MATLAS-1028,171.374,39.0738,dE  ,0.0,,"(266, 258)",1464.8518391499742,6434.737556568419,ugri,4,1
